Year,Reason,Rate,Percentage
2015-2016,Leisure,Once per month,13.2
2015-2016,Leisure,Once per week,7.3
2015-2016,Leisure,Three times per week,2
2015-2016,Leisure,Five times per week,1
2015-2016,Travel,Once per month,10.8
2015-2016,Travel,Once per week,8.5
2015-2016,Travel,Three times per week,4.9
2015-2016,Travel,Five times per week,3
2016-2017,Leisure,Once per month,12.4
2016-2017,Leisure,Once per week,7
2016-2017,Leisure,Three times per week,1.8
2016-2017,Leisure,Five times per week,1.1
2016-2017,Travel,Once per month,10.6
2016-2017,Travel,Once per week,8.6
2016-2017,Travel,Three times per week,4.7
2016-2017,Travel,Five times per week,2.8
2017-2018,Leisure,Once per month,12.7
2017-2018,Leisure,Once per week,7.2
2017-2018,Leisure,Three times per week,1.8
2017-2018,Leisure,Five times per week,0.9
2017-2018,Travel,Once per month,10.9
2017-2018,Travel,Once per week,8.9
2017-2018,Travel,Three times per week,5
2017-2018,Travel,Five times per week,3.2
2018-2019,Leisure,Once per month,13
2018-2019,Leisure,Once per week,7
2018-2019,Leisure,Three times per week,1.5
2018-2019,Leisure,Five times per week,0.8
2018-2019,Travel,Once per month,11
2018-2019,Travel,Once per week,9.1
2018-2019,Travel,Three times per week,5.2
2018-2019,Travel,Five times per week,3.2
2019-2020,Leisure,Once per month,13.7
2019-2020,Leisure,Once per week,8.4
2019-2020,Leisure,Three times per week,2.9
2019-2020,Leisure,Five times per week,1.3
2019-2020,Travel,Once per month,11.2
2019-2020,Travel,Once per week,8.8
2019-2020,Travel,Three times per week,4.1
2019-2020,Travel,Five times per week,2.3
